   1    6   9.954360707907e-02
   2    6   1.572916743784e+00
   3    6   1.753613250297e+00
   4    6   1.635544170049e+00
   1    9   2.473883330994e-02
   2    9   1.620378317709e+00
   3    9   2.059916559651e+00
   4    9   2.421868085912e+00
   1   12   1.593529174105e-03
   2   12   6.367194810703e-01
   3   12   9.398100567709e-01
   4   12   3.482118090730e+00
   6   14   6.300234987740e-01
   9   14   5.516050539564e-01
  12   14   1.258838900664e-01
   5   15   1.091232709839e+00
   8   15   9.554079791643e-01
  11   15   2.180372934494e-01
   6   17   1.890070496322e+00
   9   17   1.654815161869e+00
  12   17   3.776516701992e-01
   7   18   1.091232709839e+00
  10   18   9.554079791643e-01
  13   18   2.180372934494e-01
   6   19   6.300234987740e-01
   9   19   5.516050539564e-01
  12   19   1.258838900664e-01
   6   20   7.859927595159e-01
   9   20   1.159822068889e+00
  12   20   7.093338350886e-01
   5   21   1.361379393863e+00
   8   21   2.008870751056e+00
  11   21   1.228602241901e+00
   6   23   2.357978278548e+00
   9   23   3.479466206668e+00
  12   23   2.128001505266e+00
   7   24   1.361379393863e+00
  10   24   2.008870751056e+00
  13   24   1.228602241901e+00
   6   25   7.859927595159e-01
   9   25   1.159822068889e+00
  12   25   7.093338350886e-01
